Unique ID,3-Year Period,Cause of Death,Race,Hispanic or Latino  Origin,Gender,"Age-Adjusted Rate per 100,000 Population",Lower 95% Confidence Interval,Upper 95% Confidence Interval
A2010201201320,2010-2012,Salmonella infections,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201201321,2010-2012,Salmonella infections,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201201322,2010-2012,Salmonella infections,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201201400,2010-2012,Salmonella infections,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2010201201401,2010-2012,Salmonella infections,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201201402,2010-2012,Salmonella infections,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201201410,2010-2012,Salmonella infections,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.5
A2010201201411,2010-2012,Salmonella infections,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201201412,2010-2012,Salmonella infections,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201201420,2010-2012,Salmonella infections,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201201421,2010-2012,Salmonella infections,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201201422,2010-2012,Salmonella infections,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201202000,2010-2012,Shigellosis and amebiasis,Total,Total,Total,0.0,0.0,0.1
A2010201202001,2010-2012,Shigellosis and amebiasis,Total,Total,Male,0.0,0.0,0.2
A2010201202002,2010-2012,Shigellosis and amebiasis,Total,Total,Female,0.0,0.0,0.1
A2010201202010,2010-2012,Shigellosis and amebiasis,Total,Not Hispanic,Total,0.0,0.0,0.1
A2010201202011,2010-2012,Shigellosis and amebiasis,Total,Not Hispanic,Male,0.0,0.0,0.2
A2010201202012,2010-2012,Shigellosis and amebiasis,Total,Not Hispanic,Female,0.0,0.0,0.2
A2010201202020,2010-2012,Shigellosis and amebiasis,Total,Hispanic,Total,0.0,0.0,0.7
A2010201202021,2010-2012,Shigellosis and amebiasis,Total,Hispanic,Male,0.0,0.0,1.9
A2010201202022,2010-2012,Shigellosis and amebiasis,Total,Hispanic,Female,0.0,0.0,1.1
A2010201202100,2010-2012,Shigellosis and amebiasis,White,Total,Total,0.0,0.0,0.1
A2010201202101,2010-2012,Shigellosis and amebiasis,White,Total,Male,0.0,0.0,0.2
A2010201202102,2010-2012,Shigellosis and amebiasis,White,Total,Female,0.0,0.0,0.2
A2010201202110,2010-2012,Shigellosis and amebiasis,White,Not Hispanic,Total,0.0,0.0,0.2
A2010201202111,2010-2012,Shigellosis and amebiasis,White,Not Hispanic,Male,0.0,0.0,0.3
A2010201202112,2010-2012,Shigellosis and amebiasis,White,Not Hispanic,Female,0.0,0.0,0.3
A2010201202120,2010-2012,Shigellosis and amebiasis,White,Hispanic,Total,0.0,0.0,0.7
A2010201202121,2010-2012,Shigellosis and amebiasis,White,Hispanic,Male,0.0,0.0,2.1
A2010201202122,2010-2012,Shigellosis and amebiasis,White,Hispanic,Female,0.0,0.0,1.2
A2010201202200,2010-2012,Shigellosis and amebiasis,Black,Total,Total,0.0,0.0,0.4
A2010201202201,2010-2012,Shigellosis and amebiasis,Black,Total,Male,0.0,0.0,1.2
A2010201202202,2010-2012,Shigellosis and amebiasis,Black,Total,Female,0.0,0.0,0.7
A2010201202210,2010-2012,Shigellosis and amebiasis,Black,Not Hispanic,Total,0.0,0.0,0.5
A2010201202211,2010-2012,Shigellosis and amebiasis,Black,Not Hispanic,Male,0.0,0.0,1.2
A2010201202212,2010-2012,Shigellosis and amebiasis,Black,Not Hispanic,Female,0.0,0.0,0.8
A2010201202220,2010-2012,Shigellosis and amebiasis,Black,Hispanic,Total,0.0,0.0,11.6
A2010201202221,2010-2012,Shigellosis and amebiasis,Black,Hispanic,Male,0.0,0.0,35.1
A2010201202222,2010-2012,Shigellosis and amebiasis,Black,Hispanic,Female,0.0,0.0,17.8
A2010201202300,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201202301,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201202302,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201202310,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201202311,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201202312,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201202320,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201202321,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201202322,2010-2012,Shigellosis and amebiasis,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201202400,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2010201202401,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201202402,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201202410,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.5
A2010201202411,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201202412,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201202420,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201202421,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201202422,2010-2012,Shigellosis and amebiasis,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201203000,2010-2012,Tuberculosis,Total,Total,Total,,,
A2010201203001,2010-2012,Tuberculosis,Total,Total,Male,,,
A2010201203002,2010-2012,Tuberculosis,Total,Total,Female,,,
A2010201203010,2010-2012,Tuberculosis,Total,Not Hispanic,Total,,,
A2010201203011,2010-2012,Tuberculosis,Total,Not Hispanic,Male,,,
A2010201203012,2010-2012,Tuberculosis,Total,Not Hispanic,Female,,,
A2010201203020,2010-2012,Tuberculosis,Total,Hispanic,Total,,,
A2010201203021,2010-2012,Tuberculosis,Total,Hispanic,Male,,,
A2010201203022,2010-2012,Tuberculosis,Total,Hispanic,Female,0.0,0.0,1.1
A2010201203100,2010-2012,Tuberculosis,White,Total,Total,,,
A2010201203101,2010-2012,Tuberculosis,White,Total,Male,,,
A2010201203102,2010-2012,Tuberculosis,White,Total,Female,0.0,0.0,0.2
A2010201203110,2010-2012,Tuberculosis,White,Not Hispanic,Total,,,
A2010201203111,2010-2012,Tuberculosis,White,Not Hispanic,Male,,,
A2010201203112,2010-2012,Tuberculosis,White,Not Hispanic,Female,0.0,0.0,0.3
A2010201203120,2010-2012,Tuberculosis,White,Hispanic,Total,,,
A2010201203121,2010-2012,Tuberculosis,White,Hispanic,Male,,,
A2010201203122,2010-2012,Tuberculosis,White,Hispanic,Female,0.0,0.0,1.2
A2010201203200,2010-2012,Tuberculosis,Black,Total,Total,,,
A2010201203201,2010-2012,Tuberculosis,Black,Total,Male,,,
A2010201203202,2010-2012,Tuberculosis,Black,Total,Female,0.0,0.0,0.7
A2010201203210,2010-2012,Tuberculosis,Black,Not Hispanic,Total,,,
A2010201203211,2010-2012,Tuberculosis,Black,Not Hispanic,Male,,,
A2010201203212,2010-2012,Tuberculosis,Black,Not Hispanic,Female,0.0,0.0,0.8
A2010201203220,2010-2012,Tuberculosis,Black,Hispanic,Total,0.0,0.0,11.6
A2010201203221,2010-2012,Tuberculosis,Black,Hispanic,Male,0.0,0.0,35.1
A2010201203222,2010-2012,Tuberculosis,Black,Hispanic,Female,0.0,0.0,17.8
A2010201203300,2010-2012,Tuberculosis,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201203301,2010-2012,Tuberculosis,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201203302,2010-2012,Tuberculosis,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201203310,2010-2012,Tuberculosis,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201203311,2010-2012,Tuberculosis,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201203312,2010-2012,Tuberculosis,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201203320,2010-2012,Tuberculosis,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201203321,2010-2012,Tuberculosis,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201203322,2010-2012,Tuberculosis,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201203400,2010-2012,Tuberculosis,Asian/Pacific Islander,Total,Total,,,
A2010201203401,2010-2012,Tuberculosis,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201203402,2010-2012,Tuberculosis,Asian/Pacific Islander,Total,Female,,,
A2010201203410,2010-2012,Tuberculosis,Asian/Pacific Islander,Not Hispanic,Total,,,
A2010201203411,2010-2012,Tuberculosis,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201203412,2010-2012,Tuberculosis,Asian/Pacific Islander,Not Hispanic,Female,,,
A2010201203420,2010-2012,Tuberculosis,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201203421,2010-2012,Tuberculosis,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201203422,2010-2012,Tuberculosis,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201204000,2010-2012,Whooping cough,Total,Total,Total,0.0,0.0,0.1
A2010201204001,2010-2012,Whooping cough,Total,Total,Male,0.0,0.0,0.2
A2010201204002,2010-2012,Whooping cough,Total,Total,Female,0.0,0.0,0.1
A2010201204010,2010-2012,Whooping cough,Total,Not Hispanic,Total,0.0,0.0,0.1
A2010201204011,2010-2012,Whooping cough,Total,Not Hispanic,Male,0.0,0.0,0.2
A2010201204012,2010-2012,Whooping cough,Total,Not Hispanic,Female,0.0,0.0,0.2
A2010201204020,2010-2012,Whooping cough,Total,Hispanic,Total,0.0,0.0,0.7
A2010201204021,2010-2012,Whooping cough,Total,Hispanic,Male,0.0,0.0,1.9
A2010201204022,2010-2012,Whooping cough,Total,Hispanic,Female,0.0,0.0,1.1
A2010201204100,2010-2012,Whooping cough,White,Total,Total,0.0,0.0,0.1
A2010201204101,2010-2012,Whooping cough,White,Total,Male,0.0,0.0,0.2
A2010201204102,2010-2012,Whooping cough,White,Total,Female,0.0,0.0,0.2
A2010201204110,2010-2012,Whooping cough,White,Not Hispanic,Total,0.0,0.0,0.2
A2010201204111,2010-2012,Whooping cough,White,Not Hispanic,Male,0.0,0.0,0.3
A2010201204112,2010-2012,Whooping cough,White,Not Hispanic,Female,0.0,0.0,0.3
A2010201204120,2010-2012,Whooping cough,White,Hispanic,Total,0.0,0.0,0.7
A2010201204121,2010-2012,Whooping cough,White,Hispanic,Male,0.0,0.0,2.1
A2010201204122,2010-2012,Whooping cough,White,Hispanic,Female,0.0,0.0,1.2
A2010201204200,2010-2012,Whooping cough,Black,Total,Total,0.0,0.0,0.4
A2010201204201,2010-2012,Whooping cough,Black,Total,Male,0.0,0.0,1.2
A2010201204202,2010-2012,Whooping cough,Black,Total,Female,0.0,0.0,0.7
A2010201204210,2010-2012,Whooping cough,Black,Not Hispanic,Total,0.0,0.0,0.5
A2010201204211,2010-2012,Whooping cough,Black,Not Hispanic,Male,0.0,0.0,1.2
A2010201204212,2010-2012,Whooping cough,Black,Not Hispanic,Female,0.0,0.0,0.8
A2010201204220,2010-2012,Whooping cough,Black,Hispanic,Total,0.0,0.0,11.6
A2010201204221,2010-2012,Whooping cough,Black,Hispanic,Male,0.0,0.0,35.1
A2010201204222,2010-2012,Whooping cough,Black,Hispanic,Female,0.0,0.0,17.8
A2010201204300,2010-2012,Whooping cough,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201204301,2010-2012,Whooping cough,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201204302,2010-2012,Whooping cough,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201204310,2010-2012,Whooping cough,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201204311,2010-2012,Whooping cough,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201204312,2010-2012,Whooping cough,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201204320,2010-2012,Whooping cough,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201204321,2010-2012,Whooping cough,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201204322,2010-2012,Whooping cough,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201204400,2010-2012,Whooping cough,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2010201204401,2010-2012,Whooping cough,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201204402,2010-2012,Whooping cough,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201204410,2010-2012,Whooping cough,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.5
A2010201204411,2010-2012,Whooping cough,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201204412,2010-2012,Whooping cough,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201204420,2010-2012,Whooping cough,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201204421,2010-2012,Whooping cough,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201204422,2010-2012,Whooping cough,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201205000,2010-2012,Scarlet fever and erysipelas,Total,Total,Total,0.0,0.0,0.1
A2010201205001,2010-2012,Scarlet fever and erysipelas,Total,Total,Male,0.0,0.0,0.2
A2010201205002,2010-2012,Scarlet fever and erysipelas,Total,Total,Female,0.0,0.0,0.1
A2010201205010,2010-2012,Scarlet fever and erysipelas,Total,Not Hispanic,Total,0.0,0.0,0.1
A2010201205011,2010-2012,Scarlet fever and erysipelas,Total,Not Hispanic,Male,0.0,0.0,0.2
A2010201205012,2010-2012,Scarlet fever and erysipelas,Total,Not Hispanic,Female,0.0,0.0,0.2
A2010201205020,2010-2012,Scarlet fever and erysipelas,Total,Hispanic,Total,0.0,0.0,0.7
A2010201205021,2010-2012,Scarlet fever and erysipelas,Total,Hispanic,Male,0.0,0.0,1.9
A2010201205022,2010-2012,Scarlet fever and erysipelas,Total,Hispanic,Female,0.0,0.0,1.1
A2010201205100,2010-2012,Scarlet fever and erysipelas,White,Total,Total,0.0,0.0,0.1
A2010201205101,2010-2012,Scarlet fever and erysipelas,White,Total,Male,0.0,0.0,0.2
A2010201205102,2010-2012,Scarlet fever and erysipelas,White,Total,Female,0.0,0.0,0.2
A2010201205110,2010-2012,Scarlet fever and erysipelas,White,Not Hispanic,Total,0.0,0.0,0.2
A2010201205111,2010-2012,Scarlet fever and erysipelas,White,Not Hispanic,Male,0.0,0.0,0.3
A2010201205112,2010-2012,Scarlet fever and erysipelas,White,Not Hispanic,Female,0.0,0.0,0.3
A2010201205120,2010-2012,Scarlet fever and erysipelas,White,Hispanic,Total,0.0,0.0,0.7
A2010201205121,2010-2012,Scarlet fever and erysipelas,White,Hispanic,Male,0.0,0.0,2.1
A2010201205122,2010-2012,Scarlet fever and erysipelas,White,Hispanic,Female,0.0,0.0,1.2
A2010201205200,2010-2012,Scarlet fever and erysipelas,Black,Total,Total,0.0,0.0,0.4
A2010201205201,2010-2012,Scarlet fever and erysipelas,Black,Total,Male,0.0,0.0,1.2
A2010201205202,2010-2012,Scarlet fever and erysipelas,Black,Total,Female,0.0,0.0,0.7
A2010201205210,2010-2012,Scarlet fever and erysipelas,Black,Not Hispanic,Total,0.0,0.0,0.5
A2010201205211,2010-2012,Scarlet fever and erysipelas,Black,Not Hispanic,Male,0.0,0.0,1.2
A2010201205212,2010-2012,Scarlet fever and erysipelas,Black,Not Hispanic,Female,0.0,0.0,0.8
A2010201205220,2010-2012,Scarlet fever and erysipelas,Black,Hispanic,Total,0.0,0.0,11.6
A2010201205221,2010-2012,Scarlet fever and erysipelas,Black,Hispanic,Male,0.0,0.0,35.1
A2010201205222,2010-2012,Scarlet fever and erysipelas,Black,Hispanic,Female,0.0,0.0,17.8
A2010201205300,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Total,Total,0.0,0.0,16.9
A2010201205301,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Total,Male,0.0,0.0,48.7
A2010201205302,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Total,Female,0.0,0.0,27.6
A2010201205310,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.1
A2010201205311,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,91.8
A2010201205312,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,73.0
A2010201205320,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,35.6
A2010201205321,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,138.5
A2010201205322,2010-2012,Scarlet fever and erysipelas,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,51.7
A2010201205400,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2010201205401,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Total,Male,0.0,0.0,1.1
A2010201205402,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2010201205410,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.5
A2010201205411,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2010201205412,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2010201205420,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,37.3
A2010201205421,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,144.5
A2010201205422,2010-2012,Scarlet fever and erysipelas,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,58.6
A2010201206000,2010-2012,Meningococcal infection,Total,Total,Total,,,
A2010201206001,2010-2012,Meningococcal infection,Total,Total,Male,0.0,0.0,0.2
A2010201206002,2010-2012,Meningococcal infection,Total,Total,Female,,,
A2010201206010,2010-2012,Meningococcal infection,Total,Not Hispanic,Total,0.0,0.0,0.1
A2010201206011,2010-2012,Meningococcal infection,Total,Not Hispanic,Male,0.0,0.0,0.2
A2010201206012,2010-2012,Meningococcal infection,Total,Not Hispanic,Female,0.0,0.0,0.2
A2010201206020,2010-2012,Meningococcal infection,Total,Hispanic,Total,,,
A2010201206021,2010-2012,Meningococcal infection,Total,Hispanic,Male,0.0,0.0,1.9
A2010201206022,2010-2012,Meningococcal infection,Total,Hispanic,Female,,,
A2010201206100,2010-2012,Meningococcal infection,White,Total,Total,,,
A2010201206101,2010-2012,Meningococcal infection,White,Total,Male,0.0,0.0,0.2
A2010201206102,2010-2012,Meningococcal infection,White,Total,Female,,,
A2010201206110,2010-2012,Meningococcal infection,White,Not Hispanic,Total,0.0,0.0,0.2
A2010201206111,2010-2012,Meningococcal infection,White,Not Hispanic,Male,0.0,0.0,0.3
A2010201206112,2010-2012,Meningococcal infection,White,Not Hispanic,Female,0.0,0.0,0.3
A2010201206120,2010-2012,Meningococcal infection,White,Hispanic,Total,,,
A2010201206121,2010-2012,Meningococcal infection,White,Hispanic,Male,0.0,0.0,2.1
A2010201206122,2010-2012,Meningococcal infection,White,Hispanic,Female,,,
